3.000000000000000000e+00,9.082199999999999847e+01
6.000000000000000000e+00,3.537400000000000233e+01
9.000000000000000000e+00,2.166800000000000281e+01
1.200000000000000000e+01,1.578999999999999915e+01
1.500000000000000000e+01,1.324999999999999822e+01
1.800000000000000000e+01,1.120399999999999885e+01
2.100000000000000000e+01,9.585999999999998522e+00
2.400000000000000000e+01,8.250000000000000000e+00
2.700000000000000000e+01,7.208000000000001073e+00
3.000000000000000000e+01,5.795999999999999375e+00
3.300000000000000000e+01,5.371999999999998998e+00
3.600000000000000000e+01,4.458000000000001073e+00
3.900000000000000000e+01,3.903999999999999915e+00
4.200000000000000000e+01,2.701999999999999957e+00
4.500000000000000000e+01,2.463999999999999524e+00
